date,cash,stock_value,total_value,positions
20241217,581.9999999997672,1138356.0,1138937.9999999998,1
20241218,581.9999999997672,1142040.0,1142621.9999999998,1
20241219,581.9999999997672,1147566.0,1148147.9999999998,1
20241220,581.9999999997672,1158618.0,1159199.9999999998,1
20241223,1076309.9999999998,0.0,1076309.9999999998,0
20241224,1076309.9999999998,0.0,1076309.9999999998,0
20241225,1076309.9999999998,0.0,1076309.9999999998,0
20241226,1076309.9999999998,0.0,1076309.9999999998,0
20241227,1076309.9999999998,0.0,1076309.9999999998,0
20241230,527.9999999995343,1075782.0000000002,1076309.9999999998,1
20241231,527.9999999995343,1021900.0,1022427.9999999995,1
20250102,527.9999999995343,990314.0,990841.9999999995,1
20250103,527.9999999995343,949438.0000000001,949965.9999999997,1
20250106,527.9999999995343,951296.0,951823.9999999995,1
20250107,527.9999999995343,979166.0000000001,979693.9999999997,1
20250108,527.9999999995343,975450.0000000001,975977.9999999997,1
20250109,527.9999999995343,977308.0,977835.9999999995,1
20250110,527.9999999995343,951296.0,951823.9999999995,1
20250113,527.9999999995343,955011.9999999999,955539.9999999994,1
20250114,527.9999999995343,1014468.0,1014995.9999999995,1
20250115,527.9999999995343,1012610.0,1013137.9999999995,1
20250116,527.9999999995343,1018184.0000000001,1018711.9999999997,1
20250117,527.9999999995343,1008894.0,1009421.9999999995,1
20250120,527.9999999995343,1014468.0,1014995.9999999995,1
20250121,527.9999999995343,1021900.0,1022427.9999999995,1
20250122,527.9999999995343,999604.0,1000131.9999999995,1
20250123,527.9999999995343,1005178.0,1005705.9999999995,1
20250124,527.9999999995343,1033048.0000000001,1033575.9999999997,1
20250127,527.9999999995343,1014468.0,1014995.9999999995,1
20250205,527.9999999995343,1049770.0,1050297.9999999995,1
20250206,527.9999999995343,1090646.0,1091173.9999999995,1
20250207,527.9999999995343,1096220.0,1096747.9999999995,1
20250210,527.9999999995343,1133380.0,1133907.9999999995,1
20250211,527.9999999995343,1116658.0,1117185.9999999995,1
20250212,527.9999999995343,1120373.9999999998,1120901.9999999993,1
20250213,527.9999999995343,1122232.0,1122759.9999999995,1
20250214,527.9999999995343,1150102.0,1150629.9999999995,1
20250217,527.9999999995343,1168682.0,1169209.9999999995,1
20250218,527.9999999995343,1122232.0,1122759.9999999995,1
20250219,527.9999999995343,1144528.0,1145055.9999999995,1
20250220,527.9999999995343,1112941.9999999998,1113469.9999999993,1
20250221,527.9999999995343,1146386.0,1146913.9999999995,1
20250224,527.9999999995343,1129664.0,1130191.9999999995,1
20250225,527.9999999995343,1109226.0,1109753.9999999995,1
20250226,527.9999999995343,1103652.0,1104179.9999999995,1
20250227,527.9999999995343,1120373.9999999998,1120901.9999999993,1
20250228,527.9999999995343,1036764.0,1037291.9999999995,1
20250303,527.9999999995343,1046054.0,1046581.9999999995,1
20250304,527.9999999995343,1060918.0,1061445.9999999995,1
20250305,527.9999999995343,1060918.0,1061445.9999999995,1
20250306,527.9999999995343,1112942.0,1113469.9999999995,1
20250307,527.9999999995343,1094362.0,1094889.9999999995,1
20250310,527.9999999995343,1077640.0000000002,1078167.9999999998,1
20250311,527.9999999995343,1083214.0,1083741.9999999995,1
20250312,527.9999999995343,1099936.0,1100463.9999999995,1
20250313,527.9999999995343,1068350.0,1068877.9999999995,1
20250314,527.9999999995343,1114800.0,1115327.9999999995,1
20250317,527.9999999995343,1112942.0,1113469.9999999995,1
20250318,527.9999999995343,1114800.0,1115327.9999999995,1
20250319,527.9999999995343,1086930.0,1087457.9999999995,1
20250320,527.9999999995343,1072066.0,1072593.9999999995,1
20250321,527.9999999995343,1044196.0,1044723.9999999995,1
20250324,527.9999999995343,1031190.0,1031717.9999999995,1
20250325,1024285.9999999995,0.0,1024285.9999999995,0
20250326,1024285.9999999995,0.0,1024285.9999999995,0
20250327,1024285.9999999995,0.0,1024285.9999999995,0
20250328,1024285.9999999995,0.0,1024285.9999999995,0
20250331,1024285.9999999995,0.0,1024285.9999999995,0
20250401,1024285.9999999995,0.0,1024285.9999999995,0
20250402,471.9999999994179,1023814.0000000001,1024285.9999999995,1
20250403,471.9999999994179,1018104.9999999999,1018576.9999999993,1
20250407,828276.9999999995,0.0,828276.9999999995,0
20250408,828276.9999999995,0.0,828276.9999999995,0
20250409,828276.9999999995,0.0,828276.9999999995,0
20250410,828276.9999999995,0.0,828276.9999999995,0
20250411,828276.9999999995,0.0,828276.9999999995,0
20250414,828276.9999999995,0.0,828276.9999999995,0
20250415,828276.9999999995,0.0,828276.9999999995,0
20250416,828276.9999999995,0.0,828276.9999999995,0
20250417,828276.9999999995,0.0,828276.9999999995,0
20250418,828276.9999999995,0.0,828276.9999999995,0
